iter	MultiClass
0	2.291330851
1	2.219834544
2	2.165889155
3	2.126539958
4	2.093893381
5	2.068522409
6	2.047538631
7	2.028326487
8	2.013772583
9	2.000840309
10	1.98998327
11	1.979570852
12	1.972663849
13	1.96526017
14	1.959636202
15	1.954856945
16	1.949836388
17	1.946776878
18	1.942534159
19	1.939195913
20	1.93622592
21	1.933596656
22	1.930829642
23	1.928881632
24	1.926558696
25	1.925074592
26	1.923775116
27	1.922679025
28	1.921473269
29	1.92015229
30	1.918731173
31	1.91769314
32	1.917144867
33	1.916387799
34	1.915228119
35	1.914245372
36	1.913040489
37	1.912416959
38	1.911822701
39	1.910823214
40	1.910277714
41	1.909567599
42	1.909112145
43	1.908624367
44	1.908069956
45	1.907696794
46	1.90714203
47	1.906939834
48	1.90657968
49	1.905822135
50	1.905254627
51	1.904795138
52	1.904312491
53	1.904053197
54	1.903664243
55	1.903414326
56	1.902930415
57	1.902675508
58	1.902408932
59	1.901838526
60	1.901490565
61	1.901330538
62	1.900972551
63	1.900718425
64	1.900203979
65	1.899887692
66	1.89965162
67	1.899459937
68	1.899292264
69	1.899051258
70	1.898725391
71	1.89852245
72	1.89837922
73	1.89808721
74	1.897994616
75	1.89777051
76	1.897525738
77	1.89731132
78	1.89701148
79	1.896829145
80	1.89676833
81	1.896646207
82	1.896452656
83	1.89627867
84	1.896093374
85	1.895945385
86	1.895907704
87	1.895694721
88	1.895526571
89	1.895397439
90	1.89521471
91	1.895041598
92	1.894854664
93	1.894577543
94	1.894527057
95	1.894440979
96	1.894308058
97	1.894102382
98	1.89401667
99	1.893939956
100	1.893811859
101	1.893676953
102	1.893529465
103	1.893432206
104	1.893257502
105	1.89311273
106	1.893034313
107	1.892815675
108	1.89277061
109	1.892630086
110	1.89252024
111	1.892366467
112	1.892303975
113	1.892075037
114	1.891979988
115	1.891825351
116	1.891650093
117	1.891452306
118	1.891239855
119	1.891012385
120	1.89073585
121	1.89066444
122	1.89025872
123	1.890131003
124	1.890008795
125	1.889812002
126	1.889714773
127	1.889594641
128	1.889502703
129	1.889405126
130	1.889313804
131	1.889171315
132	1.888834506
133	1.888650023
134	1.888473056
135	1.888349428
136	1.888040441
137	1.88792691
138	1.887616329
139	1.887465768
140	1.887321818
141	1.887185338
142	1.887024718
143	1.886891424
144	1.886785501
145	1.886669448
146	1.886515214
147	1.88645191
148	1.886326134
149	1.886226254
150	1.886012224
151	1.885826867
152	1.885587103
153	1.885435936
154	1.885377676
155	1.885189845
156	1.885015284
157	1.884872664
158	1.88466724
159	1.884543703
160	1.88441997
161	1.884273551
162	1.884149767
163	1.883824202
164	1.883747084
165	1.883636471
166	1.88350119
167	1.883321369
168	1.883227166
169	1.883120373
170	1.882876645
171	1.882718332
172	1.882415126
173	1.882345833
174	1.882169098
175	1.882118808
176	1.882005896
177	1.881947842
178	1.881866171
179	1.881795022
180	1.881738234
181	1.881616386
182	1.881419605
183	1.881350134
184	1.881285245
